index;headline_text
33;Pagamento parcelado deveria ter possibilidade  de debito programado... abusivo o juros cobrado no parcelamento sem a possibilidade de cobrança agendada.
34;É ridÃ­culo uma pessoa que levou 14 dias para vencer uma compra, fazer uma transferência para outra conta do PagSeguro e esta conta também levar 14 dias para receber. Estou muito feliz e satisfeito com Mercado Pago
35;Em caso da entrega, pois em outros sites me são entregue sem problema ,não do caso de vcs ,pois tenho sempre que pegar minha mercadoria nos Correios
36;Estou mudando para outra cia
37;Não consigo acessar minha conta sempre . 
38;Suporte ao cliente
39;Permitir a pemuta de máquina, pagando uma diferença.
40;mais rapides se nao sai o dinheiro no caixa 24 horas para devolver o dinheiro
41;aceitação de ticket alimentação para quem ainda não tem CNPJ, POIS TENHO CADASTRO no CPF da maquininha .. estou perdendo vendas por esse motivo!!!!
42;tive dificuldade em cancelar conta inativa do pagseguro
43;O cartão não é aceito em vários lugares por que tem que usar a função CRÉDITO.
44;Eu Poder transferir meu dinheiro pra conta que eu quizer
45;aceitar recargar de telefones 
46;Não tem segurança nenhuma, Pag seguro devolve ao cliente mau caráter 3.800,00 após 4 meses 
47;Pagar conta no aplicativo 
48;Extrato detalhado dos últimos três dias e não do mês de maio.
49;Tem muitas taxas e cartão não parcela
50;Problemas com extorno de um saque, chegada do cartão e muita burocracia. 
51;RAPIDES  CHIPE  DEMIRA MUITO A TROCA
52;O extrato de transações e financeiros são muito confusos. E não trazem a totalização de vendas diárias, no site.  Seria interessante uma totalização bruta diária, com a totalização lÃ­quida a receber.
53;tive uma venda bloqueada, ja fiz de tudo e voces nao desbloquearam, me causando serios prejuizos.
54;Empréstimo
55;Reduzir taxas
56;receber o valor no outro dia mesmo que o cliente divide a compra 
57;Entregar a máquina comprada em menos de 2 meses.
58;Preciso trocar minha maquina está com defeito
59;Taxas altas é o maior problema por favor nos ajudem mais um pouco 
60;Extratos detalhados do que se tem para receber.
61;As vezes quando nos vamos transferir o valor para o cartão pré pago no dia seguinte passa-se metade do dia e o valor não está liberado para transferência
62;Feito propaganda da taxa 0% por 3 meses e fui descontada durante todos os meses. Arrependida pela comprs da maquina e nao quero mais usá-la. Não estou aqui para ser enganada. 
63;Poder parcelar as compras sem precisar ter o adiantamento da parcela obrigatório 
64;Melhorar mais um pouco 
65;taxas menores
66;Ter um cartão de débito , ninguém  merece usar crédito sendo que ja paguei pelas taxas em alguns comercios que compro aceitam so dinheiro  ou débito. E se eu joga o dinheiro para o cartão  tenho que sacar e pagar uma fortuna para vocês acho muito errado por isso nao indico a ninguém  mais essa máquina  
67;saldo bloqueado + 20 dias
68;lojas
69;Quero reduzir as taxas de juros
70;melhorar e muuuuito os canais de comunicação
71;Ter a humanidade de entender e ajudar quando o cliente é assaltado e perde a maquininha.
72;Equipe de vendas promete uma taxa reduzida e não realiza a contratada. 
73;Eu tenho a primeira pague seguro a bateria não dura muito eu gostaria de trocar a base de troca mas creio que vc não fazem isso, seria bom se eu pegasse de graça uma maquininha nova que dure mais a bateria.
74;maquina de pessima qualidade (nenhum autonomia !)
75;programa para troca de maquina, por uma superior
76;Já é 10
77;aceitar mais bandeiras no debito
78;O reembolso de AMEX é somente com 30 dias.....
79;Pós vendas 
80;Opção de escolha não receber parcelamento em 30 dias o juros e muito alto
81;Falta detalhar o extrato, mostrando o nome do titular do cartão, de cada venda. ImprenscindÃ­vel isso!!!! E as taxas cobradas são muito altas. 
82;Ter um App Mobile que faça tudo, sem que dependamos da web.
83;Menor taxa para dividir valores autos. 
84;Isso!!
85;Transferi meu saldo de outro email que estou pedindo des de abril.
86;O pagseguro não é transparente com diversas taxas. Além disso a falta de suporte é horrí­vel
87;MÃQUINA QUEBRA MUITO, MINIZINHA CHIP
88;Não consigo falar com o suporte estou com a moderninha estragada
89;garantia da maquina/troca/conserto muito dificil
90;As taxas estão hiper altas, diferente dos concorrentes.
91;Vcs já mandaram 2 máquinas e até agora não funcionam
92;Precisa aceitar mas bandeiras
93;Esperei mais de 30 minutos pra ser ser atendido e a ligação simplesmente caiu
94;Mais atençao e responsabilidade com seucliente
95;Demora na transferencia do valor de vendas para a conta bancária
96;menor tempo para solução de problemas no recebimento
97;Não  consigo por 3 vezes falar com  o atendimento. Fiquei mais de 7 minutos só  ouvindo blá blá blá 
98;MUITO RUIM  
99;sacar nos terminais 24 horas e ter a funçao debito no cartao
100;Pagamento via codigo QR
101;enviar o link para que eu possa pagar minhas compras
102;poder pagar no debito, pois teve estabelecimentos que não aceitaram a venda no credito, acabei tendo que pagar de outra forma com vcs retendo o meu dinheiro e só podendo comprar da forma que vc determinam.
103;todos ops serviços de vocês são de péssima qualidade! 
104;Muitos problema para finalizar a compra na máquina estou usando só no último caso a máquina agora
105;Transferência entre contas PagSeguro
106;Mais agilidade pra transferir valores da conta PAGSEGURO para o cartão pagseguro
107;IMPOSSIVEL CONSEGUIR ASSISTENCIA PELO TELEFONE
108;Cobrança por boleto e utilização da maquina por mais de uma pessoa
109;TROCA DA MAQUINA SEM FICARMOS 1 SEMANA SEM A MAQUINA, POIS PERDEMOS VENDAS
110;ter maior acesso a um atendente pessoal e nao virtual
111;estou dentro do prazo de 3 meses sem cobrança de taxas, mas todas as vendas que eu fiz foram debitadas a taxas 
112;o cliente não quer pagar acescimo quando divide a compra por isso não vendo quase nada com parcelas e perco a venda
113;Versao da minha maquinh antiga
114;Sobre o bloqueio do saldo já enviei os documentos e sempre faltando
115;chega ser covardia, o tanto que vocês cobram de uma pessoa que trabalha assim como você, e você ver seu sacrifí­cio perdido para os juros e taxas contadas por vocês!
116;Na compra parcelada, mostrar o valor total dos juros.
117;bateria 
118;Muito complicado quando se precisa de atendimento, orientação e não há um atendente humano. ROBÃ• (ATENDENTE VIRTUAL) APENAS // nota "0"
119;As taxas são altas e a bateria da maquina é muito ruim
120;Faz pouco tempo que trabalho com o pag Seguro.. . Mais meu último serviço eu n recebi em minha conta bancária... eu fiz a transferência normalmente mais n foi sacada por mim em minha conta.
121;ABSURDO , PESSIMO ATENDIMENTO, FUI LESADA POR VCS
122;Apenas isso
123;Fazer regarga de celular com as outras 
124;Só isso
125;toda vez que entro no computador pede a senha e nunca aceita
126;Reduzir txs, visto q nvs equip/marcas, disponibilisa menor custo
127;Mais parcelamento
128;possibilidade de receber parcelado com taxas menores
129;depois de efetuada a venda poder trocar o prazo de recebimento!
130; flutuação do sinal com frequência 
131;toda que vou fazer a transferência e com muita trabalheira hoje mesmo não conseguir fazer lo  
132;taxa de saque com cartao muito cara
133;agilidade na entrega de bobinas
134;Vcs come muito o dinheiro q entr
135;A gente fica muito tempo esperando para ser atendido e a fala eletrônica fala demais para chegar a opção que queremos. 
136;a máquininha descarrega muito rapidamente e, as vezes, demora demais para recarregar
137;Aceita outros pagamentos como pagamento de boletos e colocar recargas em celular!
138;Cobrança indevida 
139;até agora estou com dinheiro no cartão e não consigo resgatar
140;Possibilitar o recebimento das parcelas sem antecipação com a diminuição da taxa.
141;cartão de crédito ao invés de débito é 171
142;Atendimento por telefone é péssimo. Não há retorno. Preciso reativar minha maquininha e não consigo falar com ninguém. só falo com secretaria eletrônica. Fico na espera e não tenho retorno.
143;O valor não ficar bloqueado por um mês e ninguem me dar uma resposta concreta
144;Oque o plim
145;Precisam rever as taxas tenho propostas  bem.as abaixa que a de vcs, e estou pensando em mudar tenho propostas de empresas que desconta 5% no valor total e dividindo e 10x ao cliente 
146;Liberar as funcionalidades de pagamentos de contas e QR code pra todos
147;Recebimento de voucher e Duração da bateria 
148;Acho as taxas muito caras
149;Trocar nome fantasia 
150;aceitar pagamento de contas e recarga de celular
151;Aceita outros cartão
152;usar o cartão como debito e pagar contas a credito divididas
153;Minha maquina esta direto travando ou indo para manutenção, perguntei se poderiam abater ela em uma outra e eu pagar a diferença e não foi possível, e com isso perco vendas.
154;FUI LESADO EM UMA VENDA E NAO ME AUXILIARAM EM NADA.
155;Responder aos e-mails dos clientes,  pra poder fazer reclamações. Da o 5 anos de garantia mas na hora de querer assistência ninguém responde. 
156;Muito bom mais se houvesse uma ajuda maior na hora de criar a conta do pagseguro ficaria bem mais fácil para quem vai obter a maquineta pela primeira vez e não tem habilidade com o sistema e avisar que devemos transferir o dinheiro pois achei que era direto pra conta poupança sem precisar transferir tomei um susto quando trabalhei e não vi entra o dinheiro ‚se pudesse receber o banese card seria melhor pois ele é aqui em Sergipe. Nas outras coisas está tudo tranquilo ótimo atendimento . 
157;as taxas de parcelamento são muito altas
158;Dar um geito de ela pegar em outros lugares, e muito ruim quando vc chegar pra fazer um evento beneficente ela não pega sinal ,perdemos muita vendas.eu acho que tem que pra de fazer elas com chip.
159;Bateria dura muito pouco na minizinha chip
160;Opção de transferência automática na conta bancária
161;Perto da Maq.Credicar e Merc.Pago o Pg seguro tem a maior taxa, apesar de ter um otimo sait e ser funcional.
162;A bateria da maquininha w muito ruim,dura muito pouco ternpo
163;absurdo os juros de parcelamento ao cliente e valor que é descontado de nós..outras operadoras estão oferecendo melhores condições.
164; A GENTE VE TANTA PROPAGANDA, MAS PARA QUEM TEM UM MAQUINA JA ANTIGA NÃƒO VE NADA.
165;Opção pág no Aplicativo.pagar contas 
166;Pagar contas pelo PagSeguro
167;criar relatorio de venda para imprimir das vendas pelo site
168;cancelamento de vendas - prazo para envio de documentos
169;Taxas elevadas, e acho demorado o recebimento do valor
170;Taxas altÃ­ssimas para parcelamento
171;Tive perdas financeiras significativas por recusa da transação financeira pela Pagseguro. Com isso, os clientes cancelaram seus pedidos e a Pagseguro não me informou a razão da recusa.
172;Minha maquina está no meu CPF, e quando sai o comprovante, sai todos os meus dados juntos, CPF, endereço. Tem muito cliente que não conheço, tem essa informação. 
173;Cumprir o que foi prometido, aceitar pagamento de contas.
174;Aplicativo sofre constantes mudanças que dificulta o acesso ao invés de facilitar. Por exemplo, desde a última atualização não consigo para contas através do aplicativo o que gera desconforto. Tem a função de pagar contas e não funciona. O atendimento é demorado. A troca de máquina é altamente burocrático, entre outros pontos que deixam a desejar.  
175;Nunca da certo o códigode segurança
176;Já são 15 dias pra resolver um problema de cadastro
177;Taxas muito altas, a margem de lucro hoje em dia é muito pequena.
178;Diminuir as taxas.
179;aqui no rio grande do sul precisaria receber o banricompras parcelado
180;Ped tempered escrito dias minha maquina trocaram meu recebimentos a credito sem eu solicitar preciso uasr maquina credito para receber em 48 horas e voces colocaram 30 dias meu recebimento
181;quero adicionar mais uma conta bancária outro comercio de minha esposa.
182;ATENDIMENTO/PROMOÃ‡Ã•ES PARA CLIENTES ANTIGOS
183;permitir fazer planos de  assinatura também pela maquininha, não só pela internet.
184;ter comprovante em papel
185;Poder resolver alguns assuntos por telefone e não pelo site pq é mais difí­cil 
186;Paga o dono da maquina e o cliente que parcela
187;pedimos cartão pre pago, mas sempre tem esculpas para não transferir os valores.
188;Receber parcelado, de acordo com o que vendo, aÃ­ as despesas seriam menores.
189;gostaria de usar 2 chip de oper- diferente, por causa do sinal.
190;Receber o crédito em um tempo menor
191;Bateria da máquina acaba extremamente rápida 
192;A conexão do chip da máquina quase sempre não funciona,sempre tenho que rotear internet de alguém, senão não funciona só com o chip dela
193;quando e parcelado o valor da venda vai quase toda em pra taxa
194;Aceitar VR
195;Rapidez na transferência
196;Bateria descarrega muito rápido, sendo que na compra da máquina, informa que tem maior duração .
197;Acho absurdo o modo que vcs bloquearam minha conta.
198;Estou com meu dinheiro broqueado já faz 30 dias e vcs não mim fala por qual motivo não consigo transferir pra minha conta .fala q seu dinheiro foi bloqueado. Quero saber por qual motivo vcs broquearam meu dinheiro.. já enviei os documentos q vcs mim pediram e não tenho resposta. Por favor estou prescisando muito do meu dinheiro.. trabalho com bebidas e presciso repor minhas mercadoria. Não sei mas aque fazer já liguei pra vcs umas 30 vezes e ninguém consegue mim falar pq é meu dinheiro está bronqueado
199;um absurdo para logar pedir o número do PIN e ainda dizer que é para facilitar para o usuário. Parei de usar a 2 meses a minizinha depois do App Minha Conta pedir o PIN e não deixar outra opção como se o PIN fosse fácil como olhar no relógio. Me decepcionei, era tudo bom até o momento que fizeram isso. Fiquei com 100 reais retidos e nunca mais consegui fazer transação nenhuma, Parabéns ao idiota que atualizou este App
200;Resolver problemas fáceis com cliente 
201;Aceitar bandeiras no credito com banricompras, verdecard...
202;Fiz um estorno e o cartão Hipercard ainda está vindo o valor da parcela da cliente
203;Parar com.propaganda enganosa
204;Melhor acesso ao site que é péssimo, vive fora do ar, quando não está cheio de falhas
205;preciso transferir o dinheiro da minha conta pro banco, mas tive que cancelar a minha conta no banco, e não consigo e o chat é muito fraco nas respostas
206;sofri um pagamento de conta indevida devido a uma clonagem e logo completará 120 dias que ainda não recebi o ressarcimento. Fui orientada a encerrar a conta, porém não fui informada que levaria esse tempo todo caso fosse encerrada. Fui penalizada por falha na segurança de vocês.
207;bonus por recomendação  ja recomendei a 3 amigos que compraram a moderninha
208;combiado ão foi comprido
209;As taxas estão mais altas do que as dos concorrentes
210;abertura de cretido no pag seguro
211;Custear a maquina de vcs! (Para uma possivel troca)
212;taxas para saque muito altas
213;A qualidade  da bateria das maquininha... descarrega muito rápido 
214;Autorizar recebimentos de outros tipos de cartôes como cartões de alimentação Sodexo e outros mesmo que a moderninha esteja cadastrada no nome de uma pessoa fí­sica, como é o meu caso.
215;conectividade da maq. plus
216;Todos feverian ter direito ao emprestimo 
217;melhorar 0 sinal do wifi por que as vezes fico sem o sinal durante meio dia me dando um grande prejuiso,e isto esta acontecendo quase que constantemente
218;Redução do percentual das taxas 
219;Podem me explicar o porquê a bandeira da Mastercard me cobrou 25 reais de uma venda de 300,00? Isso dá mais de 9% 
220;Sempre dar falha
221;Permitir que os valores considerados na simulação de vendas sejam transferidos diretamento no app para a área de vendas do programa. Assim não será preciso anotar os valores usados na simulação para depois digitar no campo correspondente na área de vendas.
222;Taxas de parcelamentos alta
223;Melhorar tudo
224;Quando vc vende e coloca as taxa para o cliente é cobrada dele e do estabelecimento
225;Processamento lento, as vezes demora até 2 minutos para realizar uma transação.
226;sempre nota 10 trabalho ja é muito bom 
227;Não TENHO SINAL AQUI NO MEU CONDOMINIO, NUNCA CONSIGO USAR
228;Desconto muito alto. Vendi 1 perfume e percebi q recebi mesmo do q esperava . Vou mudar pra outra maquineta.
229;Poder receber  dinheiro no cartao tb da contas on line
230;Emprestimo
231;aceitar transferência para conta aberta pela internet
232;As taxas do crédito são altas
233;Aceitação da Bandeira de alimentação sem precisar de cnpj no ramo.
234;Além das opções marcadas acima, estou muito insatisfeita com a falta de retorno, pois pedi para verificarem os descontos que ocorreram erroneamente nos 3 primeiros meses que eu era isenta e até hoje não me deram retorno, ainda estou no aguardo!
235;Não deveria ter a taxa de intermediação. Pois perdemos muito com ela
236;Sim taxas ainda altas
237;melhorar o valor das taxas tem outras com taxas menores
238;Negociar direto com a PagSeguro a aceitação de vaucher, alelo. Sodexo. E outros. Ao invés de tratar com a empresa e depois pedir liberação da função na máquina.
239;Bloqueio injustificavel do meu saldo
240;agilidade no suporte técnico, que sejam mais rápido.
241;Muito altas são cobrados do cliente e de mim
242;Não passa cartão já informei para trocá-la mais fiz o procedimento mais não funcionou
243;Opção de boletos com aplicativo simplificado 
244;Taxa para parcelamento alta
245;Por duas vezes, não recebi 165.85,que o valor era 170$.as taxas muito alta penso em desistir 
246;Liberaçao dos pagamentos no 1 dia util direto na conta bancaria
247;Bom dia Várias vezes ligo reclamo minha maquineta n funciona a internete há mas de 8 meses.dizem q conserta paguei pra usar o Wifi na rua mas n funciona. Custou 480.Reais só consegui usar uma vez
248;Parcelamento sem juros
249;Iluminação na máquina. Rapidez na coneccao. 
250;compras parceladas ter a opção de receber sem adiantamento, desonerando o valor
251;atualizações para fazer pagamentos de contas pelo app deveria ser mais rapido, pois alguns clientes tem e outros não
252;Conectividade da máquina é horrí­vel por isso estou utilizando a Stelo
253;Atendimento
254;Aceitar qualquer cartão independe da função profissional
255;Tive um probleminha no recebimento e já faz dois meses e o dinheiro não chega não tenho retorno de ninguém .Na próxima semana estou indo no Procon
256;Demora para valores ficar disponÃ­vel para saque,sistema muito lento.as vezes passo uma venda as dez da manhÃ£ E só aparece no sistema de madrugada.
257;Melhorar a qualidade da máquina. Pois a minha já será a terceira vez que precisarei trocar. Ainda bem que ela está na garantia, mas e quando a garantia acabar? Vou ficar sem maquininha?!?! E dessa vez minha máquina já retornou quebrada, a entrada do carregador veio solta, relaxada... E com isso estou sem máquina. Com a minha correria fica difí­cil enfrentar a fila dos Correios mas essa semana terei que fazer isso porque paguei e por sinal muito caro, então tenho que tê-la em ótimo estado.
258;Receber o dinheiro das minhas vendas na hora sem taxas absurdas!
259;troca por outra mais atual
260;Séria, legal vocês, cobrarem pouco da gente tipo as taxas altas tem q ser muito em conta 
261;despesa demais processos burocratico nenhuma modernidade
262;No mais sem problemas, a questão é do desconto mesmo
263;O chip não  conecta, , perdemos.muito tempo para conseguir passar o cartão e algumas vemdas.
264;Aceitar banricompras Parcelado
265;Melhorar a durabilidade da bateria 
266;O
267;Já tem máquina com um taxa de juros fixa mesmo que no cliente parcele as compras
268;Tornar o pagamento recorrente uma venda presencial, direto no site.
269;Caso queira fazer a troca da máquina por uma melhor, ser usada a que eu tenho para descontos, para uma outra máquina.
270;melhorar a conexao da maquina
271;Pra mim  ta bom 
272;facilitar emprestimo
273;Eu perco muita venda por causa do juro da máquina além de cobrar do cliente cobra também do meu pagamento um absurdo por isso que eu estou tentando vender a maquininha e mudar para outra coisa se não melhorar isso aÃ­ juro mais alto que eu já vi
274;Vocês não podem demorar 7 dias pra resolver problemas onde a maquina fica inutilizada, primeiro porque vocês estão perdendo dinheiro e segundo porque o consumidor fica sem dinheiro
275;Já estou olhando outras opções de máquinas as taxas de vcs estão muito alta
276;Sempre problemas com email.
277;Direito antecipar valores
278;Deveria melhorar no valor das taxas muito alto
279;Emprestimo 
280;Dar opção de comprar máquinas novas, com condições diferenciadas para quem já tem alguma antiga
281;Isentar taxa de saque no banco 24 há.
282;Receber certo todas Ã s vendas
283;A mercado pago é melhor as taxas mais em conta.
284;Eu fiz algumas pesquisas e bastou pouco pra encontrar taxas mais baratas no mercado com os mesmos planos do PagSeguro e o empréstimo que nos é oferecido eu nunca consegui ter acesso a essa função, eu acho isso um descaso pois já sou cliente a muito tempo.
285;A demora de mostrar o valorque foi passado email.
286;Demora na finalização da venda
287;Conseguir usar o cartão nas minhas compras nos estabelecimentos
288;Máquina fica dando erro nas vendas ela não aparece no sistema de vez de quando
289;Aceitar contas facil para transferir nosso dinheiro.e resolver nossos problemas 
290;Cumprir o prometido, vender maquina com taxa zero e não cumprir, é desumando.
291;Sistema fora do ar sempre e muito ruim, cliente espera muito tempo p concluir a compra e acaba indo embora sem o produto, perde muita venda.
292;Quero receber crédito sem antecipação.
293;Olá boa noite gostaria de que vcs fizerem alguma melhoria s
294;de realmente atender melhor os seus colaboradores 
295;Hoje já fiz 420.00 reais de vendas pela pague seguro, e em minha conta só aperece14 e pouco
296;analise dos documentos para liberação do cartão pré pago (péssimo serviço)
297;Não existir disputa.
298;Não sei porque as vezes tem o valor ali pra ser transferido e ai da falta de saldo. Sendo que aquele valor que ESTÃ  ali é  colocado pelo sistema ou por vcs.
299;Maquinha quase nunca funciona quando precisa, péssimo investimento
300;receber as vendas feitas pelo celular com 24 horas
301;Resumo de vendas total
302;Lentidão pra cair na conta 
303;Minha máquina Minizinha parou de aceitar os cartões Master e Visa
304;Não consigo fazer venda digitada e o suporte diz que não ha nada de errado. Estou perdendo muitas vendas por isso
305;Passar cartão a distÃ¢ncia
306;até agora não consegui fazer transferência para o meu cartão pré pago e nem realizar recarga de celular o SMS nunca manda o código  vocês mandaram eu ligar para claro e ela falou que e com a pág seguro e vocês que vendem a máquina  e responsabilidade de vocês enviaram o código de segurança
307;Ser mais preciso no motivo de quando o cartao do cliente nao passa.
308;Tenho cartão PagSeguro e nunca usei porque ele não funciona ninguém me ajudou entao recebo pela conta bancária sinto enganado. Há vendas que fiz e nunca recebi e não está no extrato  tipo o tempo de receber expirou mas eu tenho a data e a venda foi realizada
309;Fiz uma venda entre final de outubro e inÃ­cio de novembro e me foi cobrado taxa estando eu dentro do prazo de taxa 0%. Gostaria de um retorno sobre isso me explicando porque fiquei sem entender. Obrigada
310;Comprei uma que logo saiu de linha, a minha as vezes falha na conexão via chip, isso que escolhi a operadora que tem melhor sinal 2g, quanto as taxas são altas em alguns cenários
311;Funcionalidade da Máquina. É muito lenta!
312;Hoje tem empresas que oferece melhores taxas 
313;Moderninha demora muito para conectar.
314;Poderiam usar a sua maquininhas antigas como parte da troca da nova ,e o cliente pagaria o restante .
315;Estorno como uso do cartão pag seguro quando a cobrança simplificada ser estorna na hora como os outros cartões,tive abrir uma reclamação é fui inf. Para aguardar 7 dias úteis
316;Financiamento quem deveria pagar as taxas  integrau seria os clientes. 
317;Eu gosto do pagseguro mais acho as taxas muito altas, e a maquineta que pro e smart com preços altos, tenho interesse em comprar porem acho bastante alto o valor
318;Taxas cobradas para colocar loja intecralizada no site. Digo oferecer condições de pagamentos com opções de parcelamentos no site. Não concordo em pagar taxa por isso, já que tô fazendo propaganda da sua empresa. 
319;Não está fazendo as vendas
320;Atendentes não sabem prestar informações, e demoram a resolver nossos problemas ou pior não dão retorno ao cliente como dizem que vão dar.
321;Todas as anteriores 
322;Disponibilizar recursos na hora. 
323;não vendo produtos, eu vendo serviços, fiz um serviço no valor de 400,00 reais a cliente pagou com cartão de credito em duas vezes ao chega a fatura a cliente  ou por engano ou por má fé disse não reconhecer aquele pagamento, o pagseguro simplesmente devouvel odinheiro a cliente e fiquei negativado na minha conta pagseguro, liguei para o pagueseguro e me disseram que é o regulamento e nem cabia disputa fiquei sem chance de me defender assim o pagseguro me jogou fora, fui obrigado a comprar outra maquina na concorrencia porque me recusei a paga um dinheiro que por direito era meu, em bora eu use o pagseguro a anos simplesmente me traaram assim me empurrara para a concorrencia, a uns dias atras vi que tiraram o saldo negativo que estava em minha conta queria saber como isso vai ficar para saber se posso voltar a usar a conta pagseguro ou se devo joga a maquina fora? eu gosto do pagseguro, mão não concordo como foi feito as coisa, aguardo uma resposta pois o canal de atendimento do pagseguro é pessimo o chat so tem respostas prontas precisa de atendente virtual que esteja online o tempo todo, espero uma resposta
324;Continuar fazendo pagamento de contas pelo aplicativo.
325;Acieta Vr
326;fui vitima de um golpe !! e mesmo sendo cliente a mais d 4 anos a empresa não deu menor importancia !!entreguei um produto a venda ser taxada como aprovada fiquei sem dinheiro e sem a mercadoria!! por um sistema falho de vcs possibilitou que isso ocorresse
327;O setor de análise de transações é péssimo. Não cumpre o prazo e se comunica de maneira clara com o cliente.
328;O valor que temos para resgatar liberado na conta PagSeguro demora mais tempo do que o devido para ser compensado em minha conta bancária.
329;As taxas poderia ser mais baixa 
330;fiz uma compra e debitaram R$50,00 em 03/02/17 ainda não houve a devolução.Descontaram 2 vezes já mandei todos os documentos necessários e nada. PROT. 366508838 espero que vcs me ajudem a ajudar vcs. Grato Nasser Dardari
331;Facilidade em resolver problemas técnicos 
332;Melhores Estatisticas
333;Programo minhas vendas para 30 dias. Pq a opção de receber em.1 dia...a taxa é muito alta
334;Um plano Econômico igual a da Sumap. Poder vender parcelado com uma taxa unica, para que não precise do dinheiro adiantado, ou seja, possa receber em parcelas
335;Demora para apararecer minhas vendas no relatorio e não entendi os descontos no meu saldo de venda para o comprador mobi 
336;O e-mail enviado quando a compra é aprovada esta demorando para chegar e o mesmo ac9ntece no site demora para aparecer a venda, depois de algumas horas é que eu consigo ver a transacao, isso acontece mais aos finais de semana  
337;Aceitar débito na opção digitável
338;A sua internet não presta
339;Estou usando Sum Up, taxas melhores e deposito na conta automatico
340;Taxas muito  altas
341;nenhum
342;Empréstimos 
343;A qualidade da máquina não presta. Tenho uma pro em menos de um ano já deu 2 defeitos 
344;Fazer pagamentos de contas atraves do aplicativo.
345;Moderninha Pró, melhoria aquisição bobinas
346;Ser rápido o processo de liberação depois que passa o cartão, fora que as taxas devia ser diferente também para quem é cliente já, no meu caso só uso a máquina moderninha.
347;Taxa de Parcelamento alta
348;Comunicação mais eficiente quando as vendas são realizadas. Ex.: Demora muito a te ser notificado, via app ou e-mail. DaÃ­ gera insegurança no uso 
349;Comprei outra máquina visando uma promoção de preços e taxas e ninguém me informou que com o mesmo cadastro eu não teria essas taxas promocionais descobri isso posteriormente sozinho fiquei muito decepcionado.
350;Taxas muito altas principalmente de parcelamento, simplicidade na hora de mostrar o extrato e suas taxas, receber direto no itaú & nubank por exemplo, e um atendimento por mensagem no aplicativo em vez de robos e tudo programado
351;Valor para 30/60/90 em cada data
352;Os valores das taxas são muito altos. Estou muitos insatisfeita com iss
353;Treinamento mais aprimorado p os atendentes via telefone 
354;Tá demorando um mês pra receber o valor qdo passa o cartão
355;Vocês alem dê ganhar na transação da venda ainda cobram para transferir o dinheiro para minha conta vou procurar outra operadora isso é um absurdo
356;Muita burocracia por um problema pequeno que pode ser de menos transtorno pro cliente e pra vcs uma simplis troca d dados de traz muita dor de cabeça 
357;Taxa cobrada indevidamente, já que realizei apenas um saque diário. 
358;Taxa de intermediaão¢o é ruin, quanto mais vc tem a receber pela sua venda maior é a taxa de intermediação. Esse e o unico problema , no mais eu gostei me ajuda bastante
